category,poem,url
AUTUMN Animals,"deer hunters
  soft brown eyes
reflecting blue",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"in velvet
  the deer with his look
of questions",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"deer hunters
  guns leaning against the sky
blue eyes",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"dead grass
  deer bones
exposed",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"from the cabin
  smells of supper cooking
a deer nibbles grass",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"frost and moonlight
  separated
a dark deer shape",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"becoming
  hillside bushes
deer",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"bronze bracken
  the downed deer
not found",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a boy watching
  a deer dying
turns with a jerk",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a stag's cry
  a human voice
echoes in me",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"lovesick
  one wild deer
in me",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"calling
  the cry of deer
human desire",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"also in meditation
  to the river bank deer
come down to drink",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"moonlight
  making in her snowy belly
wild-doe milk",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"evening wind roars
  still the nearby stag
hears my uneven breath",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"trudging up the path
  where the hill is the steepest
a dragonfly",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"bridging worlds
  the grass stalk bent
by the dragonfly",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"dragonflies
  giving to their wings
afternoon skies",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"lantern light
  voices in the grass
ring my shadow",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"at our farewell
  insects chirp in the grasses
our lips dry",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a jackal howls
  a black mountain opens
moon light doors",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"sun in darkness
  monarch butterflies
orange and black",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"flight of a bird
  unmarked
a feather falls",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"high in autumn
  a dark bird struggles
against the wind",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"pelicans gathered
  ready to journey south
my bag is packed",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"migrating ducks
  changing colors of the lake
to autumn",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"desert lake
  roosting place
for water chickens",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"floating on the lake
  the human voices
of ducks",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"dusk
  horizon drawn by a line
of ducks",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"an owl hoots
  the autumn wind blowing
through the o's",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"flying
  in a dream an owl
leaves a cry",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"the moon rises
  day fades into the sound
of owl feathers",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"dark trees
  as a pheasant's call
night fall",http://www.ahapoetry.com/aadoh/autani.htm
dust devils,"cinders
forgotten
thoughts",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"lava hills
ashes sparsely covered
with ghost weeds",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"lava pumice
the part-time cook
recognizes something",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"canyon walls
curved enough for clouds'
shadows to climb",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"desolate canyon
with only one note
a bird calls",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"desolate canyon
the apple rotten
at the core",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"canyon rim rocks
dwarf pines cling
with every root",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"canyon rim
something in me flies
over precipices",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"canyon rim walls
the sound of zippers
going up down jackets",http://www.ahapoetry.com/aadoh/auter.htm
AUTUMN Animals,"liberated
  the peasant hen
leaves the cock",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"picking grass seeds
  how lightly quail go
over the land",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"the female quail
  only there
when she moves",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"quail crossing
  hill to hill
a shaft of sunlight",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"rolling
  a flock of quail
on the run",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"eating the quail
  that ate the peas
planted for winter",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"shadows moving
  the forest floor turns
to quail",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a mother quail
  followed by her fifteen
separate shadows",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"stolen plums
  rounding out the tummies
of raccoon",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"aware
  raccoons on the porch
in my sleep",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a dream of bears
  raccoon on the porch
peek in the window",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"red upon red
  dragonflies chasing
autumn",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"smoked salmon
  a harvest moon rises
in autumn haze",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"smoked salmon
  evening sky invites
the neighbors in",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"middle of the night
  where scorpions creep
in cracks",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"knitting needles
  the clack of scorpions
mating",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a piece of night
  breaks off to strike
a scorpion",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"lightning strikes
  at the door a scorpion
tries to get in",http://www.ahapoetry.com/aadoh/autani.htm
dust devils,"canyon silence
skims the wind
a roar at the rim",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"music box canyon
wind in the dry river
like water running",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"canyon ledges
stones return the music
to wind",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"cemetery wind
sounds in the shells
of one's ears",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"all of their possession
side by side
cemetery plots",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"out of the cemetery
the first laugh
a cold wind",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"thunder
knees on graveyard earth
tremble",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"their eyes closed
to a million dollar view
a seaside cemetery",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"crossroads cemetery
the old man asks
the way home",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"buried here
autumn woods are full
of ancestors",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"riverside cemetery
late in autumn
chilled waters still",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"leaving the cemetery
sunrise
on frost-cracked soil",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"burial ground
naked trees veil
the sunrise",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"walking the land
that has taken my parents
their years",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"wheels of the hearse
packing the powdery snow
into useless patterns",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"swirling white clouds
on the desert floor
dust devils",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"neighbors
on the road in litigation
dust devils",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"crater winds
blowing back in
a thousand years",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"crater
where the earth exploded
a couple argue",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"photographing
the graves
without film",http://www.ahapoetry.com/aadoh/auter.htm
AUTUMN Livelihood,"cloud jeweled day
  blackberry jam
on the windowsill",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"huckleberry jam
  all the tiredness
up in jars",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"old maid's tea
  pouring boiling water
on unopened flowers",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"soup bubbles
  the past lives of vegetables
throbbing with heat",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"pepper shaker
  in gathering darkness
a sharp sound",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"dinner over
  the knife is clean and
the cup is empty",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"autumn rain
  walking about in stocking feet
tasting the soup",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"old buttons
  threaded on strings
lips closed",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"a blue coat
  the length and width
of a shadow",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"his old jeans
  pockets torn to flaps
in full possession",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"early autumn day
  just right for throwing away
old tennis shoes",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"her ashes
  forgetting
the bad times",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"morning trees
  feeling the woodcutters
coming to work",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"chain saw stilled
  the sound of the ocean
comes into view",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"old forest
  cutting across the road
chain saws",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"the mountain path
  being drawn through the woods
a sound of saws",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"chopped kindling
  the axe head warms
scarlet weather",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Animals,"unable to work
  the scorpion and I stare
at each other",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"on his back
  the scorpion's mate
dead",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"wood on wood
  the dry scrap of scorpions
crawling between",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"the many feet
  myriads of beach flies
a caressing wind",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"high tide
  backs against the cliff
shadflies",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"newborn
  flies on the beach
dark damp sand",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"following
  a vein of quartz the eye
of a spirit hawk",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"up the tree
  the squirrel stops at the sign
""vote for supervisor ...""",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a gray squirrel
  tire tracks
in his wet fur",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"termite tunnel
  curved by a cypress
long in the wind",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"rising from roots
  winged termites
rusty as redwoods",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"wild turkey's cry
  in the cabin at dusk
a door closes",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"undulating
  backs of wild turkeys
blown sea oats",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"vulture feather
  white downy fluff
at the shaft",http://www.ahapoetry.com/aadoh/autani.htm
dust devils,"church bells
a spade cuts through
stony ground",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"open grave
frosted air penetrates
deep into earth",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"tending the graves
the dirt under my nails
is just a beginning",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"childless
standing beside a mother
at a child's grave",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"out of the grave
the sinking casket
pushes the light",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"a frosty night
gravestones rise
the width of a crack",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"hole in the silence
grave diggers alone
lower the coffin",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"between the graves
fences between friends
falling apart",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"visiting graves
the stone at dusk
warms",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"visiting graves
stone gardens lengthen
autumn's cool",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"his grave
filled with
his earth",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"his grave
covered with
my sky",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"rain
covering his grave
with low clouds",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"juicy blackberries
under the tangled vines
a forgotten grave",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"after visiting graves
a night of fever-chills
their nightmares",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"late afternoon
afraid to take nap
while visiting graves",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"last daughter
selling his house
setting a stone",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"""gone but not forgotten""
the white obelisk
in a patch of weeds",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"forgetting where
the family stone
sinks in",http://www.ahapoetry.com/aadoh/auter.htm
AUTUMN Livelihood,"silence
  above a chain saw
a tree bends",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"going bald
  the logger
the mountain",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"years going out
  the rings of a tree
just cut down",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"puff of exhaust
  our earth's lungs
hauled to the mill",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"farts
  the logging truck
shifts down",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"sawdust
  exciting the air
with sunlight",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"driftwood
  women at the bar
bleached and scarred",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"singing low
  sea-white fog disappears
into bar lights",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"life on the river
  muddy water saloon
mountain still",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"drinking
  in water the colors
of painted canyon",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"easing
  into death
into earth",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"angel wings
  the skeleton's feet
arranged in bones",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"edge of the cliff
  the old couple discuss
going home",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"my parents
  their breath gone
yet the wind blows",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"last sip
  bitter taste of earth
in the water",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"death rattle
  the bookmark in his Bible
does not move",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"morning sun
  the basket of fire-starting
twigs white with frost",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"sunset's glow
  the heat in clay pots
being fired",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"gathering chestnuts
  in the fall
a crack",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"returning year after year
  to this one place
chestnuts and harvesters",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"chestnut burrs
  open and defenseless
after harvest",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"a hunting dog
  turning the stones
into quail",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Animals,"nude sun worshipper
  the vultures circle
the old woman",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"a band of sunlight
  on the vulture's wing
a feather missing",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"tangled branches
  vulture shadows
on the darkening",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Animals,"last light
  out of the cove
a dark bird",http://www.ahapoetry.com/aadoh/autani.htm
AUTUMN Occasions,"All Saints' Day
pumpkin-grin fangs
gone with the werewolf",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"All Saints' Day
goblins and witches baptized
with holy names",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"All Saints' Day
the Jack-o-lantern
full of gnats",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"All Saints' Day
the moldy pumpkin
grins with a harelip",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"All Saints' Day
filling the pumpkin's eyes
with raindrops",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"All Saints' Day
among the fall colors
angel food cake",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"All Souls' Day
the end table
bow-legged",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"moon shadows
the doormat comes alive
with a cat's leap",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"Pleasant Ridge
all the caskets
side by side",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"sleeping peacefully
the Best Western Motel
by the cemetery",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"grave marker
as a cradle headboard
rest in peace",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"abandoned cemetery
iron keys cross the ground
no one going in",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"open grave
the iron shovel lifts
autumn fragrance",http://www.ahapoetry.com/aadoh/autocca.htm
dust devils,"tombstones
marking those things
that don't die",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"deserted beach
alone with the waves
of Septemberness",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"October beach
in all the footprints
the tread of shoes",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"autumn blooms
soft white cotton balls
a harvest field",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"brown harvest field
the balls of white cotton
polka dots",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"maple hills
stain the evening sky
autumn",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"barren hills
yet patches of purple
shadow",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"steps to the cabin
where you once lived
low in broken grass",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"selling the house
the scratch of a pen
in the family name",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"a chain of old keys
in a closed house
unlocking memories",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"the deed signed
taking down the birdhouse
dad built",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"bodies buried
and now the house belongs
to someone else",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"village lights
stretch down the road
draw us home",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"the afternoon sun
slants over a hand-made house
paints it September",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"selling the house
one last swim in the lake
the water's calm",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"flying home
at 35,000 feet my folks
are not here either",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"nights the dripping roof
walks alone around the house
on one leg",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"hot springs
cool in the river
a jasper stone",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"desert storm
at the resort
hot springs",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"mineral baths
at night the many colors
in dreams",http://www.ahapoetry.com/aadoh/auter.htm
dust devils,"Death Valley
the underground river
a healing spring",http://www.ahapoetry.com/aadoh/auter.htm
AUTUMN Livelihood,"pulled taut
  his long eyelashes
at the bow",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"a man with a gun
  goes alone into the forest
of armless hunters",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"almost there
  searching the dust
for moccasin tracks",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"no one home
  the Indian village
of house trailers",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"home from the dentist
  he brushes his teeth
by a lace curtain",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"wearing the lace
  behind thin clouds
the moon",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"a kerosene lamp
  filling the pitcher
with sunflowers",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"long dead
  he laughs and speaks jerkily
super eight home movie",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"watching the moon
  grandma goes to sleep
with her glasses on",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"carrying umbrellas
  strangers in the woods
hunt mushrooms",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"autumn sun
  in a far cabin corner
a dulcimer",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"putting the dulcimer away
  the last note lingers
drops to the floor",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"gusts of wind
  raking leaves in a pile
without hands",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"autumn's dusk
  the smell of burning leaves
brings tears to my eyes",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"rummage sale
  at the Lutheran church
a rosary",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"leaning scarecrow
  real estate dealers also
are not upright",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"new owners
  the familiar scarecrow
left his post",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Livelihood,"autumn evening
  adding a long postscript
to mom's letter",http://www.ahapoetry.com/aadoh/autlive.htm
AUTUMN Occasions,"clods from the grave
sweet potatoes piled in a field
join at the fence",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"Death Valley
emigrant tombstones
mountain peaks",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"a blob of catsup
on the postcard
the missing kiss",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"mother
wearing her shoes
to her funeral",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"up in smoke
all those years
of her anger",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"the calling
of funeral bells
a shoestring breaks",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"an open mouth
funeral bells fill
earth gap",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"Funeral Mountains
at sunset a halo
of golden clouds",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"the bell tolls
rolling the full moon
out of darkness",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"burial
driving a car into the trees
behind the barn",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"sundown
in ghost town darkness
two crows",http://www.ahapoetry.com/aadoh/autocca.htm
AUTUMN Occasions,"ghost town
in an abandoned orchard
fresh apples",http://www.ahapoetry.com/aadoh/autocca.htm
